NombreDpto,IdCiudad,NombreCiudad,EsInternacional
<Ninguno (Mexico)>,-4,NO DEFINIDA (MEXICO),True
<Ninguno (Chile)>,-3,NO DEFINIDA (CHILE),True
<Ninguno (Peru)>,-2,NO DEFINIDA (PERU),True
<Ninguno (Venezuela)>,-1,NO DEFINIDA (VENEZUELA),True
<Ninguno (Colombia)>,0,NO DEFINIDA (COLOMBIA),False
ANTIOQUIA,9836,ABEJORRAL,False
ANTIOQUIA,9837,ABRIAQUI,False
ANTIOQUIA,9838,ALEJANDRIA,False
ANTIOQUIA,9839,AMAGA,False
ANTIOQUIA,9840,AMALFI,False
ANTIOQUIA,9841,ANDES,False
ANTIOQUIA,9842,ANGELOPOLIS,False
ANTIOQUIA,9843,ANGOSTURA,False
ANTIOQUIA,9844,ANORI,False
ANTIOQUIA,9845,ANZA,False
ANTIOQUIA,9846,APARTADO,False
ANTIOQUIA,9847,ARBOLETES,False
ANTIOQUIA,9848,ARGELIA,False
ANTIOQUIA,9849,ARMENIA,False
ANTIOQUIA,9850,BARBOSA,False
ANTIOQUIA,9851,BELLO,False
ANTIOQUIA,9852,BELMIRA,False
ANTIOQUIA,9853,BETANIA,False
ANTIOQUIA,9854,BETULIA,False
ANTIOQUIA,9855,BRICEÑO,False
ANTIOQUIA,9856,BURITICA,False
ANTIOQUIA,9857,CACERES,False
ANTIOQUIA,9858,CAICEDO,False
ANTIOQUIA,9859,CALDAS,False
ANTIOQUIA,9860,CAMPAMENTO,False
ANTIOQUIA,9861,CARACOLI,False
ANTIOQUIA,9862,CARAMANTA,False
ANTIOQUIA,9863,CAREPA,False
ANTIOQUIA,9864,CARMEN DE VIBORAL,False
ANTIOQUIA,9865,CAROLINA,False
ANTIOQUIA,9866,CAUCASIA,False
ANTIOQUIA,9867,CAÑASGORDAS,False
ANTIOQUIA,9868,CHIGORODO,False
ANTIOQUIA,9869,CISNEROS,False
ANTIOQUIA,9870,CIUDAD BOLIVAR,False
ANTIOQUIA,9871,COCORNA,False
ANTIOQUIA,9872,CONCEPCION,False
ANTIOQUIA,9873,CONCORDIA,False
ANTIOQUIA,9874,COPACABANA,False
ANTIOQUIA,9875,DABEIBA,False
ANTIOQUIA,9876,DON MATIAS,False
ANTIOQUIA,9877,EBEJICO,False
ANTIOQUIA,9878,EL BAGRE,False
ANTIOQUIA,9879,ENTRERRIOS,False
ANTIOQUIA,9880,ENVIGADO,False
ANTIOQUIA,9881,FREDONIA,False
ANTIOQUIA,9882,FRONTINO,False
ANTIOQUIA,9883,GIRALDO,False
ANTIOQUIA,9884,GIRARDOTA,False
ANTIOQUIA,9885,GOMEZ PLATA,False
ANTIOQUIA,9886,GRANADA,False
ANTIOQUIA,9887,GUADALUPE,False
ANTIOQUIA,9888,GUARNE,False
ANTIOQUIA,9889,GUATAPE,False
ANTIOQUIA,9890,HELICONIA,False
ANTIOQUIA,9891,HISPANIA,False
ANTIOQUIA,9892,ITAGUI,False
ANTIOQUIA,9893,ITUANGO,False
ANTIOQUIA,9894,JARDIN,False
ANTIOQUIA,9895,JERICO,False
ANTIOQUIA,9896,LA CEJA,False
ANTIOQUIA,9897,LA ESTRELLA,False
ANTIOQUIA,9898,LA PINTADA,False
ANTIOQUIA,9899,LA UNION,False
ANTIOQUIA,9900,LIBORINA,False
ANTIOQUIA,9901,MACEO,False
ANTIOQUIA,9902,MARINILLA,False
ANTIOQUIA,9903,MEDELLIN,False
ANTIOQUIA,9904,MONTEBELLO,False
ANTIOQUIA,9905,MURINDO,False
ANTIOQUIA,9906,MUTATA,False
ANTIOQUIA,9907,NARIÑO,False
ANTIOQUIA,9908,NECHI,False
ANTIOQUIA,9909,NECOCLI,False
ANTIOQUIA,9910,OLAYA,False
ANTIOQUIA,9911,PEQUE,False
ANTIOQUIA,9912,PEÑOL,False
ANTIOQUIA,9913,PUEBLORRICO,False
ANTIOQUIA,9914,PUERTO BERRIO,False
ANTIOQUIA,9915,PUERTO NARE,False
ANTIOQUIA,9916,PUERTO TRIUNFO,False
ANTIOQUIA,9917,REMEDIOS,False
ANTIOQUIA,9918,RETIRO,False
ANTIOQUIA,9919,RIONEGRO,False
ANTIOQUIA,9920,SABANALARGA,False
ANTIOQUIA,9921,SABANETA,False
ANTIOQUIA,9922,SALGAR,False
ANTIOQUIA,9923,SAN ANDRES,False
ANTIOQUIA,9924,SAN CARLOS,False
ANTIOQUIA,9925,SAN FRANCISCO,False
ANTIOQUIA,9926,SAN JERONIMO,False
ANTIOQUIA,9927,SAN JOSE DE LA MONTA,False
ANTIOQUIA,9928,SAN JUAN DE URABA,False
ANTIOQUIA,9929,SAN LUIS,False
ANTIOQUIA,9930,SAN PEDRO,False
ANTIOQUIA,9931,SAN PEDRO DE URABA,False
ANTIOQUIA,9932,SAN RAFAEL,False
ANTIOQUIA,9933,SAN ROQUE,False
ANTIOQUIA,9934,SAN VICENTE,False
ANTIOQUIA,9935,SANTA BARBARA,False
ANTIOQUIA,9936,SANTA.ROSA DE OSOS,False
ANTIOQUIA,9937,SANTAFE DE ANTIOQUIA,False
ANTIOQUIA,9938,SANTO DOMINGO,False
ANTIOQUIA,9939,SANTUARIO,False
ANTIOQUIA,9940,SEGOVIA,False
ANTIOQUIA,9941,SONSON,False
ANTIOQUIA,9942,SOPETRAN,False
ANTIOQUIA,9943,TAMESIS,False
ANTIOQUIA,9944,TARAZA,False
ANTIOQUIA,9945,TARSO,False
ANTIOQUIA,9946,TITIRIBI,False
ANTIOQUIA,9947,TOLEDO,False
ANTIOQUIA,9948,TURBO,False
ANTIOQUIA,9949,URAMITA,False
ANTIOQUIA,9950,URRAO,False
ANTIOQUIA,9951,VALDIVIA,False
ANTIOQUIA,9952,VALPARAISO,False
ANTIOQUIA,9953,VEGACHI,False
ANTIOQUIA,9954,VENECIA,False
ANTIOQUIA,9955,VIGIA DEL FUERTE,False
ANTIOQUIA,9956,YALI,False
ANTIOQUIA,9957,YARUMAL,False
ANTIOQUIA,9958,YOLOMBO,False
ANTIOQUIA,9959,YONDO,False
ANTIOQUIA,9960,ZARAGOZA,False
ATLANTICO,9961,BARANOA,False
ATLANTICO,9962,BARRANQUILLA,False
ATLANTICO,9963,CAMPO DE LA CRUZ,False
ATLANTICO,9964,CANDELARIA,False
ATLANTICO,9965,GALAPA,False
ATLANTICO,9966,JUAN DE ACOSTA,False
ATLANTICO,9967,LURUACO,False
ATLANTICO,9968,MALAMBO,False
ATLANTICO,9969,MANATI,False
ATLANTICO,9970,PALMAR DE VARELA,False
ATLANTICO,9971,PIOJO,False
ATLANTICO,9972,POLONUEVO,False
ATLANTICO,9973,PONEDERA,False
ATLANTICO,9974,PUERTO COLOMBIA,False
ATLANTICO,9975,REPELON,False
ATLANTICO,9976,SABANAGRANDE,False
ATLANTICO,9977,SABANALARGA,False
ATLANTICO,9978,SANTA LUCIA,False
ATLANTICO,9979,SANTO TOMAS,False
ATLANTICO,9980,SOLEDAD,False
ATLANTICO,9981,SUAN,False
ATLANTICO,9982,TUBARA,False
ATLANTICO,9983,USIACURI,False
BOGOTA,9984,BOGOTÁ D.C.,False
BOLIVAR,9985,ACHI,False
BOLIVAR,9986,ALTOS DEL ROSARIO,False
BOLIVAR,9987,ARENAL,False
BOLIVAR,9988,ARJONA,False
BOLIVAR,9989,ARROYOHONDO,False
BOLIVAR,9990,BARRANCO DE LOBA,False
BOLIVAR,9991,CALAMAR,False
BOLIVAR,9992,CANTAGALLO,False
BOLIVAR,9993,CARTAGENA,False
BOLIVAR,9994,CICUCO,False
BOLIVAR,9995,CLEMENCIA,False
BOLIVAR,9996,CORDOBA,False
BOLIVAR,9997,EL CARMEN DE BOLIVAR,False
BOLIVAR,9998,EL GUAMO,False
BOLIVAR,9999,EL PENON,False
BOLIVAR,10000,HATILLO DE LOBA,False
BOLIVAR,10001,MAGANGUE,False
BOLIVAR,10002,MAHATES,False
BOLIVAR,10003,MARGARITA,False
BOLIVAR,10004,MARIA LA BAJA,False
BOLIVAR,10005,MOMPOS,False
BOLIVAR,10006,MONTECRISTO,False
BOLIVAR,10007,MORALES,False
BOLIVAR,10008,PINILLOS,False
BOLIVAR,10009,REGIDOR,False
BOLIVAR,10010,RIO VIEJO,False
BOLIVAR,10011,SAN CRISTOBAL,False
BOLIVAR,10012,SAN ESTANISLAO,False
BOLIVAR,10013,SAN FERNANDO,False
BOLIVAR,10014,SAN JACINTO,False
BOLIVAR,10015,SAN JACINTO DEL CAUC,False
BOLIVAR,10016,SAN JUAN NEPOMUCENO,False
BOLIVAR,10017,SAN MARTIN DE LOBA,False
BOLIVAR,10018,SAN PABLO,False
BOLIVAR,10019,SANTA CATALINA,False
BOLIVAR,10020,SANTA ROSA,False
BOLIVAR,10021,SANTA ROSA DEL SUR,False
BOLIVAR,10022,SIMITI,False
BOLIVAR,10023,SOPLAVIENTO,False
BOLIVAR,10024,TALAIGUA NUEVO,False
BOLIVAR,10025,TIQUISIO,False
BOLIVAR,10026,TURBACO,False
BOLIVAR,10027,TURBANA,False
BOLIVAR,10028,VILLANUEVA,False
BOLIVAR,10029,ZAMBRANO,False
BOYACA,10030,ALMEIDA,False
BOYACA,10031,AQUITANIA,False
BOYACA,10032,ARCABUCO,False
BOYACA,10033,BELEN,False
BOYACA,10034,BERBEO,False
BOYACA,10035,BETEITIVA,False
BOYACA,10036,BOAVITA,False
BOYACA,10037,BOYACA,False
BOYACA,10038,BRICEÑO,False
BOYACA,10039,BUENAVISTA,False
BOYACA,10040,BUSBANZA,False
BOYACA,10041,CALDAS,False
BOYACA,10042,CAMPOHERMOSO,False
BOYACA,10043,CERINZA,False
BOYACA,10044,CHINAVITA,False
BOYACA,10045,CHIQUINQUIRA,False
BOYACA,10046,CHIQUIZA,False
BOYACA,10047,CHISCAS,False
BOYACA,10048,CHITA,False
BOYACA,10049,CHITARAQUE,False
BOYACA,10050,CHIVATA,False
BOYACA,10051,CHIVOR,False
BOYACA,10052,CIENEGA,False
BOYACA,10053,COMBITA,False
BOYACA,10054,COPER,False
BOYACA,10055,CORRALES,False
